profile,equivalent_throat_diameter_m,mouth_diameter_m,length_m,body_diameter_m,body_length_m,outer_throat_diameter_mm,radial_gap_mm,throat_area_cm2,compression_ratio,ripple_db,mean_spl_db,spl_7000_db,level_7000_relative_mid_db,max_excursion_mm,max_throat_speed_m_s,max_input_power_w
os,0.076,0.28,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,9.738957662963003,106.20672424811838,104.50881102511202,-3.3880467161570635,0.13006932093339738,0.5381679197343505,1.4627753766664944
hyperbolic,0.076,0.245,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,9.753894939491104,105.58087003755051,103.29564112723605,-3.634446675111647,0.1189261686511424,0.49481300559234764,1.4731655299133941
exponential,0.052,0.28,0.3,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.121343965072898,9.786543148411852,107.96223837990946,106.33544257340084,-2.735037914278962,0.08765514577642369,0.7902684637636219,1.4467736076317352
exponential,0.076,0.32,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,9.879580931434361,106.67610669612984,105.45870300414938,-2.5391817016986664,0.13717902406417729,0.5657894826978092,1.4691540868430562
conical,0.047,0.21,0.25,0.064,0.1,79.40403012442127,7.7020150622106325,17.349445429449634,7.493034894321917,9.911312310376417,105.98108939851711,104.62445187210784,-1.5389550850272684,0.09380385752946617,1.0330948459026448,1.4430327638686837
conical,0.06,0.28,0.2,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,9.912703069083534,106.3406946522667,106.24619986561498,-0.21947833427587682,0.1326593996712625,0.8792172679721726,1.4644668970819095
os,0.052,0.18,0.3,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.121343965072898,9.916525771254669,105.1882406814251,102.94861057764714,-3.5996945373733524,0.0641706265092696,0.7769657406074549,1.4500234787893649
os,0.06,0.245,0.25,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,9.934718317953013,106.62516175308211,104.66145087025342,-3.554470017698634,0.10049781579004145,0.6768980947004005,1.4537420464271826
conical,0.052,0.18,0.3,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.121343965072898,9.942091182772018,104.99539014924925,103.12221938025075,-2.5093819362848535,0.09028158237682331,0.9973383623125168,1.44761468822956
conical,0.06,0.32,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,10.028220702832755,107.58546175850483,106.91119045240717,-1.4184099816901892,0.10906812567406579,0.7503805858814817,1.461252419065124
conical,0.052,0.245,0.3,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.121343965072898,10.055054619704265,106.71221569809964,105.51623405522427,-1.7366690145404533,0.08507680352337282,0.9336651434497955,1.4505802765012006
